Region,Case Number,Case ID,Case Name,Case Type,Dispute Unit City,Dispute Unit State,Election Held Date,Num Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,Stipulated / Consent / Directed,Cert of Rep (Win),Cert of Results (Loss),Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes For Labor Org3,Labor Org3
"01, 34",01-RC-249440,,"DATTCO, Inc.",RC,North Smithfield,RI,10/31/2019,25,19,5,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES RI COUNCIL 94, AFL-CIO",Stipulated,,LOSS,11/8/2019,Certification of Results,,,,,
"01, 34",01-RC-249587,,Maine Connections Academy,RC,Scarborough,ME,1/22/2020,19,10,9,Maine Connections Academy Education Association/Maine Education Association,Stipulated,,LOSS,1/30/2020,Certification of Results,,,,,
"01, 34",01-RC-250091,,"Midwest Air Traffic Control Service, Inc.",RC,Lawrence,MA,11/13/2019,5,0,5,"National Air Traffic Controllers Association, AFL-CIO (NATCA)",Stipulated,WON,,11/21/2019,Certific. of Representative,,,,,
"01, 34",01-RC-250105,,"Midwest Air Traffic Control Service, Inc.",RC,Norwood,MA,11/8/2019,4,0,3,"National Air Traffic Controllers Association, AFL-CIO (NATCA)",Stipulated,WON,,11/18/2019,Certific. of Representative,,,,,
"01, 34",01-RC-250106,,"DATTCO, INC.",RC,Windsor,CT,11/8/2019,71,29,37,"Teamsters, Local 671",Stipulated,WON,,11/18/2019,Certific. of Representative,,,,,
"01, 34",01-RC-250144,,"FIRST STUDENT, INC.",RC,Norwell,MA,11/18/2019,17,7,8,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 653,Stipulated,WON,,1/3/2020,Certific. of Representative,,,,,
"01, 34",01-RC-250177,,Harriet Beecher Stowe Center,RC,Hartford,CT,10/31/2019,9,0,9,Technical Office and Professional Union Local 2110 United Automobile Workers,Consent,WON,,11/12/2019,Certific. of Representative,,,,,
"01, 34",01-RC-250256,,Highlander Charter School,RC,Cranston,RI,11/25/2019,24,12,11,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL NO 2323, AFL-CIO",Directed,,LOSS,8/3/2020,Certification of Results,,,,,
"01, 34",01-RC-250640,,"Bradford Airport Logistics, LTD",RC,Boston,MA,11/15/2019,43,6,33,International Brotherhood of Teamsters Local Union 25,Stipulated,WON,,11/25/2019,Certific. of Representative,,,,,
"01, 34",01-RC-250671,,"First Transit, Inc.",RC,East Hartford,CT,11/15/2019,7,4,3,Amalgamated Transit Union Local 1763,Stipulated,,LOSS,11/25/2019,Certification of Results,,,,,
"01, 34",01-RC-250823,,First Student Inc.,RC,Belmont,NH,11/25/2019,7,0,4,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 633,Stipulated,WON,,12/4/2019,Certific. of Representative,,,,,
"01, 34",01-RC-250848,,"New Bedford Symphony Orchestra Association, Inc.",RC,New Bedford,MA,11/18/2019,109,9,61,"BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO",Stipulated,WON,,12/18/2019,Certific. of Representative,,,,,
"01, 34",01-RC-251551,,"Action Ambulance Services, Inc.",RC,Holyoke,MA,12/11/2019,75,28,27,"International Association of EMTs and Paramedics, NAGE/SEIU Local 5000",Stipulated,,LOSS,12/30/2019,Certification of Results,,,,,
"01, 34",01-RC-251920,,"NTS Mikedon, LLC D/B/A National Trench Safety",RC,Dracut,MA,12/16/2019,7,4,3,International Union of Operating Engineers Local 4,Stipulated,,LOSS,1/3/2020,Certification of Results,,,,,
"01, 34",01-RC-252103,,"First Student, Inc.",RC,Marlborough,MA,12/2/2019,17,0,17,"International Brotherhood of Teamsters, Local 170",Stipulated,WON,,12/11/2019,Certific. of Representative,,,,,
"01, 34",01-RC-252107,,"All-Star Transportation, LLC",RC,Waterbury,CT,12/12/2019,60,22,31,"UNITED PROFESSIONAL & SERVICE EMPLOYEES UNION, LOCAL 1222",Stipulated,WON,,12/20/2019,Certific. of Representative,,,,,
"01, 34",01-RC-253033,,Saugus Rehabilitation and Nursing Center,RC,Saugus,MA,1/3/2020,7,2,4,1199 SEIU United Healthcare Workers East,Stipulated,WON,,1/13/2020,Certific. of Representative,,,,,
"01, 34",01-RC-253047,,"SAS Retail Services, LLC",RC,Boston,MA,1/15/2020,123,42,17,"UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION, LOCAL 1445",Stipulated,,LOSS,2/14/2020,Certification of Results,,,,,
"01, 34",01-RC-253164,,Durham D&M LLC,RC,Trumbull,CT,1/7/2020,5,3,2,Amalgamated Transit Union Local 1336,Stipulated,,LOSS,1/15/2020,Certification of Results,,,,,
"01, 34",01-RC-253327,,"BrandSafway Services, LLC",RC,Norwell,MA,1/3/2020,4,0,4,International Brotherhood of Teamsters Local Union No. 25,Stipulated,WON,,1/13/2020,Certific. of Representative,,,,,
"01, 34",01-RC-255036,,"New Haven Center for Performing Arts, Inc. and Backstage Support, LLC, Joint Employers",RC,New Haven,CT,3/11/2020,21,0,17,"Local Union No. 74, International Alliance of Theatrical Stage Employees (""I.A.T.S.E. Local 74"")",Stipulated,WON,,3/19/2020,Certific. of Representative,,,,,
"01, 34",01-RC-255186,,The New Britain Transportation Company,RC,Meriden,CT,2/21/2020,80,27,44,International Brotherhood of Teamsters Local 677,Stipulated,WON,,3/2/2020,Certific. of Representative,,,,,
"01, 34",01-RC-255284,,"Petroleum Heat and Power Co., Inc.",RC,Warwick,RI,2/25/2020,2,0,2,International Brotherhood of Teamsters Local 251,Stipulated,WON,,3/4/2020,Certific. of Representative,,,,,
"01, 34",01-RC-255476,,"BODA BORG BOSTON, LLC",RC,Malden,MA,2/29/2020,21,8,8,COMMUNICATIONS WORKERS OF AMERICA,Stipulated,,LOSS,4/8/2020,Certification of Results,,,,,
"01, 34",01-RC-256940,,"Beth Israel Deaconess Hospital - Plymouth, Inc.",RC,Plymouth,MA,5/11/2020,27,0,23,"United Federation of Special Police and Security Officers, Inc.",Stipulated,WON,,6/19/2020,Certific. of Representative,,,,,
"01, 34",01-RC-257349,,"Element Materials Technologies Hartford, Inc.",RC,South Windsor,CT,5/18/2020,78,34,23,"International Association of Machinists and Aerospace Workers, AFL-CIO",Stipulated,,LOSS,6/16/2020,Certification of Results,,,,,
"01, 34",01-RC-257633,,"SDH Services East, LLC, also known as SODEXO",RC,Trumbull,CT,4/28/2020,5,0,4,International Brotherhood of Teamsters Local 191,Stipulated,WON,,5/29/2020,Certific. of Representative,,,,,
"01, 34",01-RC-257923,,"Compass Group USA, Inc., d/b/a Chartwells School Dining Services",RC,Providence,RI,5/8/2020,15,2,12,UNITE HERE Local 26,Stipulated,WON,,6/22/2020,Certific. of Representative,,,,,
"01, 34",01-RC-258954,,22 South Street Operations LLC d/b/a Fox Hill Center,RC,Vernon Rockville,CT,4/27/2020,24,5,17,"New England Healthcare Employees Union District 1199, SEIU",Stipulated,WON,,5/29/2020,Certific. of Representative,,,,,
"01, 34",01-RC-259999,,"ENTERTAINMENT LIVE EVENTS, LLC D/B/A North Shore Music Theatre",RC,Beverly,MA,6/16/2020,45,2,23,"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, LOCAL 11",Directed,WON,,7/28/2020,Certific. of Representative,,,,,
"01, 34",01-RC-260446,,"Veolia Water North America - Northeast, LLC",RC,Gloucester,MA,7/1/2020,18,2,12,INTERNATIONAL BROTHERHOOD OF TEAMSTERS JOINT COUNCIL 10 ON BEHALF OF INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 42,Stipulated,WON,,8/6/2020,Certific. of Representative,,,,,
"01, 34",01-RC-260715,,Thrive Support & Advocacy,RC,Marlborough,MA,6/29/2020,56,2,9,"Service Employees International Union, Local 509",Directed,WON,,8/5/2020,Certific. of Representative,,,,,
"01, 34",01-RC-260957,,"Elm Hill Nursing Center, Inc. d/b/a Apple Rehab – Rocky Hill",RC,Rocky Hill,CT,6/22/2020,18,1,13,"New England Healthcare Employees Union, District 1199, SEIU",Directed,WON,,7/22/2020,Certific. of Representative,,,,,
"01, 34",01-RC-261005,,"DATTCO, INC.",RC,Middletown,CT,8/25/2020,91,31,42,"International Brotherhood of Teamsters Joint Council 10 New England, Teamsters Local Union No. 671",Stipulated,WON,,9/2/2020,Certific. of Representative,,,,,
"01, 34",01-RC-261420,,"ATALIAN US New England, LLC",RC,Stoughton,MA,7/15/2020,17,4,8,Pipefitters Local Union 537,Stipulated,WON,,8/21/2020,Certific. of Representative,,,,,
"01, 34",01-RC-262369,,"Wynn MA, LLC d/b/a Encore Boston Harbor",RC,Everett,MA,7/29/2020,0,4,85,"Local 103, International Brotherhood of Electrical Workers",Stipulated,WON,,9/3/2020,Certific. of Representative,,,,,
"01, 34",01-RC-263220,,"Orchard Grove Specialty Care Center, LLC d/b/a Apple Rehab - Uncasville",RC,Uncasville,CT,8/20/2020,83,17,38,"New England Healthcare Employees Union, District 1199, SEIU",Stipulated,WON,,9/22/2020,Certific. of Representative,,,,,
"01, 34",01-RC-263360,,"Johnson Brothers of Rhode Island, Inc.",RC,North Kingstown,RI,8/21/2020,12,4,7,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,9/22/2020,Certific. of Representative,,,,,
"01, 34",01-RC-263384,,"Midwest Air Traffic Control Service, Inc.",RC,Westfield,MA,8/14/2020,4,0,4,"National Air Traffic Controllers Association, AFL-CIO (NATCA)",Stipulated,WON,,9/10/2020,Certific. of Representative,,,,,
"01, 34",01-RD-247200,,First Student Inc.,RD,Orland,ME,11/18/2019,36,16,11,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 340,Stipulated,,LOSS,12/31/2019,Certification of Results,,,,,
"01, 34",01-RD-250660,,Comprehensive Decommissioning International,RD,Plymouth,MA,11/14/2019,15,4,11,"Utility Workers Union of America, Local 369",Stipulated,WON,,11/22/2019,Certific. of Representative,,,,,
2,02-RC-230811,,"HNY Ferry, LLC, d/b/a NYC Ferry",RC,Brooklyn,NY,1/24/2019,43,13,26,"MARINE ENGINEERS BENEFICIAL ASSOCIATION, AFL-CIO, DISTRICT 1 - PCD",Directed,WON,,1/21/2020,Certific. of Representative,,,,,
2,02-RC-238385,,"AvalonBay Communities, Inc.",RC,Fairfield,CT,4/23/2019,27,5,18,International Union of Operating Engineers Local 30,Stipulated,WON,,4/30/2020,Certific. of Representative,,,,,
2,02-RC-245130,,E. Fitzgerald Electric Co. Inc.,RC,New York,NY,9/26/2019,19,1,18,"International Brotherhood of Electrical Workers, Local 3, AFL-CIO",Directed,WON,,10/4/2019,Certific. of Representative,,,,,
2,02-RC-247424,,New York Eye and Ear Infirmary of Mount Sinai,RC,New York,NY,9/25/2019,29,0,28,Local One Security Officers' Union,Stipulated,WON,,10/3/2019,Certific. of Representative,,,,,
2,02-RC-248145,,195 Hudson Street Condominium,RC,New York,NY,10/10/2019,6,0,5,SEIU Local 32BJ,Stipulated,WON,,10/18/2019,Certific. of Representative,,,,,
2,02-RC-248456,,The New York Eye and Ear Infirmary (d/b/a New York Eye and Ear Infirmary of Mount Sinai),RC,New York,NY,10/9/2019,64,0,64,1199SEIU United Healthcare Workers East,Stipulated,WON,,10/17/2019,Certific. of Representative,,,,,
2,02-RC-248579,,PowerPak Civil & Safety LLC,RC,Congers,NY,10/18/2019,10,10,0,Local 918 L.I.F.E.,Stipulated,,LOSS,10/28/2019,Certification of Results,,,,,
2,02-RC-248993,,Club Quarters Grand Central,RC,New York,NY,11/8/2019,49,27,20,"New York Hotel and Motel Trades Council, AFL-CIO",Directed,,LOSS,11/18/2019,Certification of Results,,,,,
2,02-RC-249072,,"AB Facility Services, LLC",RC,Whippany,NJ,10/21/2019,3,0,2,International Union of Operating Engineers Local 30,Stipulated,WON,,10/29/2019,Certific. of Representative,,,,,
2,02-RC-249170,,"Planned Building Services, Inc., and Planned Lifestyle Services, Inc., part of and related to Planne",RC,New York,NY,10/25/2019,4,0,4,SEIU Local 32BJ,Stipulated,WON,,11/4/2019,Certific. of Representative,,,,,
2,02-RC-249253,,"Planned Building Services, Inc., and Planned Lifestyle Services, Inc., part of and related to Planne",RC,New York,NY,10/28/2019,7,0,7,"SEIU, Local 32BJ",Stipulated,WON,,11/5/2019,Certific. of Representative,,,,,
2,02-RC-249344,,The New York Eye and Ear Infirmary (d/b/a New York Eye and Ear Infirmary of Mount Sinai),RC,New York,NY,10/30/2019,237,0,182,1199SEIU United Healthcare Workers East,Stipulated,WON,,11/7/2019,Certific. of Representative,,,,,
2,02-RC-249502,,"EV Events Center, LLC",RC,New York,NY,10/28/2019,55,2,28,Theatrical Protective Union Local One IATSE,Stipulated,WON,,11/22/2019,Certific. of Representative,,,,,
2,02-RC-249798,,"Planned Building Services, Inc., and Planned Lifestyle, Services, Inc., part of and related to Plann",RC,New York,NY,11/8/2019,9,3,6,SEIU 32BJ,Stipulated,WON,,11/18/2019,Certific. of Representative,,,,,
2,02-RC-251076,,The A Building Condominium,RC,New York,NY,12/5/2019,9,4,5,SEIU Local 32BJ,Stipulated,WON,,12/23/2019,Certific. of Representative,,,,,
2,02-RC-251237,,Countywide Carting LTD,RC,Hillburn,NY,12/4/2019,13,9,2,"Waste Material Recycling and General Industrial Laborers, Local 108",Stipulated,,LOSS,12/18/2019,Certification of Results,,,,,
2,02-RC-251594,,"NBCUniversal Media, LLC",RC,New York,NY,12/4/2019,165,40,90,"The NewsGuild of New York, Local 31003, TNG/CWA, AFL-CIO",Stipulated,WON,,12/13/2019,Certific. of Representative,,,,,
2,02-RC-251667,,"Somers Sanitation, Inc.",RC,Somers,NY,12/19/2019,31,14,17,Local 456 IBT,Directed,WON,,1/8/2020,Certific. of Representative,,,,,
2,02-RC-251847,,"American Minutemen Sewer & Drain Service, Inc.",RC,New City,NY,12/4/2019,20,3,17,"Specialty Trades Union Local 741, N.A.S.T.",Stipulated,WON,,12/18/2019,Certific. of Representative,,,,,
2,02-RC-252055,,MCNALLY ROBINSON BOOKSELLERS LLC; MCNALLY JACKSON SEAPORT LLC; MCNALLY JACKSON FAYAWAY LLC; MCNALLY,RC,New York,NY,12/12/2019,95,5,73,"Retail, Wholesale, and Department Store Union, United Food and Commercial Workers (RWDSU, UFCW)",Stipulated,WON,,12/23/2019,Certific. of Representative,,,,,
2,02-RC-252326,,New York Eye and Ear Infirmary of Mount Sinai,RC,New York,NY,12/11/2019,38,0,35,1199SEIU,Stipulated,WON,,12/30/2019,Certific. of Representative,,,,,
2,02-RC-252350,,The Paley Center for Media,RC,New York,NY,12/19/2019,7,1,5,Theatrical Protective Union Local One IATSE,Stipulated,WON,,1/3/2020,Certific. of Representative,,,,,
2,02-RC-252592,,"Hearst Magazines Media, Inc. and its subsidiaries",RC,New York,NY,6/12/2020,531,83,241,"WRITERS GUILD OF AMERICA EAST, INC.",Directed,WON,,8/7/2020,Certific. of Representative,,,,,
2,02-RC-252689,,"34th Street Partnership, Inc.",RC,New York,NY,12/19/2019,65,2,56,"Local 210, International Brotherhood of Teamsters",Stipulated,WON,,1/3/2020,Certific. of Representative,,,,,
2,02-RC-254110,,"Dachnowicz Automotive, Inc., d/b/a Tarrytown Honda",RC,Tarrytown,NY,1/28/2020,27,8,16,"UNITED AUTOMOTIVE SALES & SERVICE EMPLOYEES UNION, LOCAL 1A, Affiliated with NATIONAL ORGANIZATION OF INDUSTRIAL TRADE UNIONS-INTERNATIONAL UNION OF JOURNEYMEN AND ALLIED TRADES",Stipulated,WON,,2/6/2020,Certific. of Representative,,,,,
2,02-RC-254325,,"Laura B. Thomas Houses, LP",RC,Bronx,NY,2/3/2020,3,2,0,L.I.F.E. Local 1032,Stipulated,,LOSS,2/11/2020,Certification of Results,,,,,
2,02-RC-254354,,MD Partners Inc. DBA 1-800 Got Junk,RC,Mahwah,NJ,1/30/2020,16,9,7,L.I.F.E. Local 1032,Stipulated,,LOSS,2/10/2020,Certification of Results,,,,,
2,02-RC-254767,,Platinum Amenity Services LTD,RC,New York,NY,2/10/2020,3,0,3,Service Employees International Union Local 32BJ,Stipulated,WON,,3/17/2020,Certific. of Representative,,,,,
2,02-RC-254865,,BLDG Management Co. Inc.,RC,New York,NY,2/18/2020,5,1,4,"Local 32BJ, Service Employees International Union, CTW",Stipulated,WON,,3/4/2020,Certific. of Representative,,,,,
2,02-RC-255027,,"Planned Building Services, Inc. and Planned Lifestyle Services, Inc., part of and related to Planned",RC,Parsipanny,NJ,2/6/2020,8,1,7,32BJ SEIU,Stipulated,WON,,2/14/2020,Certific. of Representative,,,,,
2,02-RC-255609,,"New York White Plains Luxury Imports, Inc., d/b/a Jaguar Land Rover White Plains",RC,Elmsford,NY,3/5/2020,11,0,11,International Union of Journeymen and Allied Trades,Directed,WON,,3/18/2020,Certific. of Representative,,,,,
2,02-RC-256326,,"Express Services, Inc., d/b/a Express Employment Professionals, Inc. and East Haven Builders Supp",RC,Millwood,NY,3/6/2020,2,0,2,"International Brotherhood of Teamsters, Local 456",Stipulated,WON,,3/18/2020,Certific. of Representative,,,,,
2,02-RC-256886,,Northwell Health Physicians Partners Opthalmology,RC,New York,NY,5/14/2020,43,1,37,1199SEIU United Healthcare Workers East,Stipulated,WON,,7/17/2020,Certific. of Representative,,,,,
2,02-RC-257151,,"XPO Logistics Freight, Inc.",RC,Montgomery,NY,6/5/2020,50,36,8,"TEAMSTERS LOCAL 445, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",Stipulated,,LOSS,7/23/2020,Certification of Results,,,,,
2,02-RC-257605,,City Bar Justice Center,RC,New York,NY,4/9/2020,8,0,6,"Office and Professional Employees International Union, Local 153, AFL-CIO",Directed,WON,,5/29/2020,Certific. of Representative,,,,,
2,02-RC-257691,,Citizen 360 Condominium,RC,New York,NY,4/30/2020,11,0,7,SEIU Local 32BJ,Directed,WON,,6/12/2020,Certific. of Representative,,,,,
2,02-RC-258153,,Millennium Tower Residences,RC,New York,NY,5/8/2020,16,0,9,LOCAL 32BJ SERVICE EMPLOYEES INTERNATIONAL UNION,Directed,WON,,6/24/2020,Certific. of Representative,,,,,
2,02-RC-259301,,"Pageant Media US Limited, Inc.",RC,New York,NY,5/8/2020,27,3,15,"The NewsGuild-Communications Workers of America, AFL-CIO, CLC",Stipulated,WON,,7/7/2020,Certific. of Representative,,,,,
2,02-RC-260759,,St Anthony Community Hospital,RC,Warwick,NY,6/19/2020,103,9,83,The New York State Nurses Association,Directed,WON,,8/11/2020,Certific. of Representative,,,,,
2,02-RC-261134,,"The Children's Village, Inc.",RC,Dobbs Ferry,NY,7/20/2020,105,0,0,SPECIAL PATROLMAN BENEVOLENT ASSOCIATION,Stipulated,WON,,9/9/2020,Certific. of Representative,,,,,
2,02-RC-261519,,"Kings Security Services, Inc.",RC,Bronx,NY,7/14/2020,377,3,92,Local 642 Security Allied Federated Employees Union,Stipulated,WON,,9/3/2020,Certific. of Representative,,,,,
2,02-RC-261846,,Transportation Alternatives,RC,New York,NY,7/13/2020,18,0,13,"LOCAL 2110, TECHNICAL, OFFICE & PROFESSIONAL UNION, UAW",Stipulated,WON,,9/4/2020,Certific. of Representative,,,,,
2,02-RD-247703,,"ABM INDUSTRY GROUPS, LLC.",RD,New York,NY,9/30/2019,7,7,0,"LOCAL 917, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",Stipulated,,LOSS,10/8/2019,Certification of Results,,,,,
"03, 03 ALB",03-RC-246300,,The New York State Correctional Officers and Police Benevolent Association,RC,Albany,NY,9/23/2019,13,5,7,Professional Association of NYSCOPBA Employees,Stipulated,WON,,10/1/2019,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-247195,,Inguran LLC,RC,Ithaca,NY,9/27/2019,15,10,4,District Council 4 Painters & Allied Trades Local #11,Stipulated,,LOSS,10/7/2019,Certification of Results,,,,,
"03, 03 ALB",03-RC-247525,,University of Rochester,RC,Rochester,NY,9/27/2019,59,26,31,International Brotherhood of Teamsters Local 118,Stipulated,WON,,10/7/2019,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-247603,,"D.J. Gerling Electric Enterprises, Inc.",RC,Burt,NY,10/1/2019,8,4,4,IBEW Local 237,Stipulated,,LOSS,11/6/2019,Certification of Results,,,,,
"03, 03 ALB",03-RC-247647,,Telco Construction Inc.,RC,East Aurora,NY,,3,0,3,"New York State Laborers Organizing Fund, Laborers International Union of North America",Directed,WON,,10/29/2019,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-247767,,"Saint-Gobain Ceramics and Plastics, Inc.",RC,Oriskany,NY,9/27/2019,26,17,5,United Food & Commercial Workers Union Local One,Stipulated,,LOSS,10/7/2019,Certification of Results,,,,,
"03, 03 ALB",03-RC-248964,,"Birnie Bus Service, Inc.",RC,Utica,NY,11/8/2019,260,130,98,"Civil Service Employees Association (CSEA) Local 1000, AFSCME, AFL-CIO",Directed,,LOSS,9/8/2020,Certification of Results,,,,,
"03, 03 ALB",03-RC-249243,,Sciencenter Discovery Museum,RC,Ithaca,NY,10/24/2019,21,0,15,Workers United,Stipulated,WON,,11/18/2019,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-250600,,Sisters of Charity Hospital - St. Joseph Campus,RC,Buffalo,NY,11/8/2019,19,9,8,"Communications Workers of America, AFL-CIO",Stipulated,,LOSS,11/18/2019,Certification of Results,,,,,
"03, 03 ALB",03-RC-250701,,"Chatham Rescue Squad, Inc.",RC,Chatham,NY,11/26/2019,16,5,8,"United Professional and Service Employees Union, Local 1222",Stipulated,WON,,12/4/2019,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-251516,,American Bridge Company,RC,Fort Lee,NJ,12/19/2019,38,1,24,Laborers International Union of North America Upstate New York Laborers District Council Local 210,Stipulated,WON,,12/27/2019,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-252171,,Health Alliance Hospital,RC,Kingston,NY,12/30/2019,224,2,143,1199 SEIU United Healthcare Workers East,Stipulated,WON,,1/7/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-253300,,GORNC Operating LLC d/b/a Gowanda Rehabilitation & Nursing Center,RC,Gowanda,NY,1/9/2020,12,0,10,1199 SEIU United Healthcare Workers East,Stipulated,WON,,1/17/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-254718,,"Chase Memorial Nursing Home Co., Inc.",RC,New Berlin,NY,2/26/2020,79,42,13,"Retail, Wholesale, and Department Store Union, UFCW",Directed,,LOSS,3/5/2020,Certification of Results,,,,,
"03, 03 ALB",03-RC-254755,,"North Country Dairy, LLC",RC,North Lawrence,NY,2/12/2020,7,2,5,International Brotherhood of Teamsters Local 687,Stipulated,WON,,2/21/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-254900,,Essendant Co.,RC,Coxsackie,NY,2/13/2020,90,51,34,"International Brotherhood of Teamsters, Local 294",Stipulated,,LOSS,3/6/2020,Certification of Results,,,,,
"03, 03 ALB",03-RC-254930,,Health Alliance Hospital,RC,Kingston,NY,2/18/2020,115,47,41,1199 SEIU United Healthcare Workers East,Stipulated,,LOSS,2/26/2020,Certification of Results,,,,,
"03, 03 ALB",03-RC-255002,,"Health Quest Systems, Inc.",RC,Poughkeepsie,NY,2/13/2020,85,1,78,1199 SEIU United Healthcare Workers East,Stipulated,WON,,2/21/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-256434,,"Wainfleet Companies, LLC d/b/a Perks Cafe",RC,Buffalo,NY,3/12/2020,16,2,8,Workers United,Stipulated,WON,,3/20/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-256608,,Kaleida Health,RC,Buffalo,NY,3/11/2020,2,0,2,Communications Workers of America AFL-CIO,Stipulated,WON,,3/19/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-256618,,Kaleida Health,RC,Buffalo,NY,3/11/2020,6,0,5,"Communications Workers of America, AFL-CIO",Stipulated,WON,,3/19/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-257044,,"First Student, Inc.",RC,Youngsville,NY,4/16/2020,40,14,13,International Brotherhood of Teamsters Local 445,Stipulated,,LOSS,6/5/2020,Certification of Results,,,,,
"03, 03 ALB",03-RC-257153,,Vassar Brothers Medical Center,RC,Poughkeepsie,NY,5/26/2020,15,0,15,New York State Nurses Association,Stipulated,WON,,7/2/2020,Certific. of Representative,,,,,
"03, 03 ALB",03-RC-257840,,Kaleida Health,RC,Buffalo,NY,6/18/2020,41,15,23,"Communications Workers of America, AFL-CIO",Stipulated,WON,,6/29/2020,Certific. of Representative,,,,,
